Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
137	Z4767388021	COC=1C=NC(F)=CC1C(=O)NC=2C=CC(=CC2)C3=NC4=CC=CC=C4S3	-10.41	0.951385	7.950214
138	Z1533550897	CC(CC1=NC(=NO1)C=2C=CC=CC2)NC(=O)C=3C=CC=CC3F	-10.41	0.859841	7.645521
139	Z2012801913	COC=1C=CC=2NC=C(CC(=O)NC3CCCC4=NN(C)C=C43)C2C1	-10.40	0.971600	7.969184
140	Z200028972	O=C(NCC=1C=CC=C(C1)NC(=O)C2CC2)C3=NNC=4C=CC=CC34	-10.40	0.899552	7.584748
141	Z2303017347	CC(C)C=1C=CC=C(C1)CC(=O)NC=2C=CC(=CC2)CC3NC(=O)NC3=O	-10.40	0.974791	8.017422
142	Z1382553741	CC1(NC(=O)N(CC(=O)N2CC(CC=3C=CC=CC3F)C2)C1=O)C4CC4	-10.40	0.909629	7.765899
143	Z739501042	NC(=O)C=1C=C(C=CC1F)NCC2=NC(=NO2)C=3C=CC(Cl)=CC3	-10.40	0.843861	7.626957
144	Z1445559244	CC=1C=CC(=CC1C(=O)O)NC(=O)C=2C=CC(=CC2)OC3CCOCC3	-10.40	0.944023	7.439359
145	Z1758758229	CC1=CC=CC(C)=C1NC(=O)N2CCC(C2)NC=3C=CC4=NC=CN4N3	-10.40	0.943105	8.176686
146	Z1533549229	CC(CC1=NC(=NO1)C=2C=CC=CC2)NC(=O)C=3C=C(C=CC3F)C(F)(F)F	-10.39	0.679928	7.662191
147	Z1512283734	CCC=1C=C(N=CN1)N2CCC(CC2)NC(=O)NC3=CC=CC(=C3)C4=NC=CO4	-10.39	0.645900	7.683516
148	Z2877678955	CC1CN(CC2=CSC(=N2)NC(=O)C=3C=CC=4NC=NC4C3F)CC(C)O1	-10.38	0.974326	8.159161
149	Z733713620	CC=1C=C(NN1)C(=O)N2CCC(CC2)NC(=O)C3=CC=CC=C3C	-10.38	0.786633	7.270022
150	Z1912510773	CC=1C=CC(C)=C(C1)NC(=O)CN2CCCC(C2)C=3C=CN=C(N)N3	-10.38	0.935291	8.123976
151	Z1233526737	CC(=O)NC=1C=C(C=CC1F)S(=O)(=O)NC=2C=CC=C(C2)COC3CCCCC3	-10.38	0.936829	8.079482
152	Z1241361847	CCC1C(=O)NCCN1CC(=O)N2CCC(CC2)NC(=O)C=3C=CC=CC3	-10.38	0.901756	7.634652
153	Z4639971303	CC=1C=NC=C(C1)C(=O)NC2CN(C2)C(=O)C=3C=CC=4C=CNC4C3	-10.37	0.782458	7.291043
154	Z2481354839	CC=1C=CC(=CC1C(=O)N2CCCCC2)NC(=O)C3=CN=C4C=CC=NN34	-10.37	0.931452	8.046641
155	Z1657342341	O=C(COC=1C=CC=2C=CC=CC2C1)N3CCC(CC3)C4CCOC4	-10.37	0.860248	7.290007
156	Z1348332946	NC(=O)C1=CN=CC(=N1)N2CCN(CC3=NC(N)=C4C=CC=CC4=N3)CC2	-10.37	0.891422	7.996886
157	Z1661265601	FC=1C=CC=CC1C2=NN=C(CCC3=NC(=NO3)C=4C=CC=CN4)O2	-10.36	0.903039	8.171864
158	Z2878918991	O=C(CC1NC(=O)C=2C=CC=CC21)NC3CCCN(C3)C=4C=CC=CC4	-10.36	0.885398	7.677777
159	Z1908702806	CC=1C=CN=C(C1)C2=NNC(=N2)C(C)NC(=O)[C@H]3CCC(=O)N3	-10.36	0.986589	8.078705
160	Z1666241818	O=C(NC=1C=CC(=CC1)OC=2C=CN=CC2)C=3C=CN=C(C3)OC4CCOC4	-10.35	0.952702	7.854375
161	Z2434936558	CC1(NC(=O)NC1=O)C2=CC=CC(=C2)NC(=O)CCC3CCNCC3	-10.35	0.942894	7.688520
162	Z230647594	O=C(NC=1C=CC=C(C1)C2=NN=NN2C3CC3)C=4C=C(NN4)C=5C=CC=CC5	-10.35	0.942117	8.473867
163	Z3491088104	O=C(CC1NC(=O)C=2C=CC=CC21)N3CCCC(C3)OC4=CC=C(Cl)C(Cl)=C4	-10.35	0.809954	7.889235
