Rank	Ligand	SMILES	Binding_Affinity(kcal/mol)	CNN_affinity	CNN_score
78	Z1529112448	CC=1C(F)=CC=C2SC(=NC12)NC(=O)C=3C=CC4=C(C3)CCC(=O)N4C	-11.34249	6.65201	0.56298
79	Z4475787859	CC1(C)CCC=2C=CC=CC2C(C1)NC(=O)NCC3=CNC(=O)C=4C=CC=CC34	-11.33969	7.0141	0.43383
80	Z65762802	O=C(CN1C(=O)NC2(CCCC2)C1=O)N3C=4C=CC=CC4OCC3C=5C=CC=CC5	-11.3392	6.73714	0.37509
81	Z1223070784	O=C1NCCC=2C=CC(=CC12)NCC3=NC(=NO3)C=4C=CC=5OCOC5C4	-11.33422	6.55167	0.65954
82	Z109733942	O=C(NC=1C=CC=CC1N2CCCC2=O)C3=CC=C(O3)C4=NC5=CC=CC=C5S4	-11.32416	6.94862	0.74461
83	Z106187330	O=C1NC(CN2CCCC(C2)C3=NC=4C=CC=CC4S3)=NC=5C=CC(Cl)=CC15	-11.32292	7.54406	0.84423
84	Z1444580165	O=C(O)C1(CCC=2C=CC=CC21)NC(=O)C=3C=CC=C(C3)N4CCCC4=O	-11.32285	6.96507	0.55757
85	Z730644392	CC=1C=CC(O)=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC=4CCCCC4S3	-11.31214	6.38037	0.46433
86	Z741455970	CN1CCC2(CC1)CC(NC(=O)C=3C=NC=C4C=CC=CC34)C5=CC=CC=C5O2	-11.30986	7.13151	0.38654
87	Z134712806	CC=1C=CC(=CC1)NC(=O)CN2C(=O)NC(C)(C2=O)C3=CC=C(F)C(F)=C3	-11.30775	6.81676	0.4305
88	Z30529753	COC=1C=CC(=CC1)NS(=O)(=O)C=2C=C(C=CC2C)NC(=O)C=3C=CC(C)=CC3	-11.30708	7.10324	0.56419
89	Z229539940	CC=1C=CC=CC1C2=NN=C(O2)C=3C=CC(=CC3)C(=O)NC=4C=CC=CC4O	-11.30598	7.21165	0.77337
90	Z64786795	CC1=NC=2C=CC=CC2C(=O)N1C=3C=CC(=CC3)C(=O)N4CCC=5C=CC=CC54	-11.29472	7.16673	0.50714
91	Z104291932	CC=1C=CC=CC1C2=NN=C(O2)C=3C=CC(C)=C(C3)S(=O)(=O)NCC=4C=CC=CC4	-11.29103	7.47338	0.57639
92	Z4500949732	CC1=CSC(=N1)C2CCN(C2)C(=O)C=3C=C(NN3)C=4C=CC=5C=CC=CC5C4	-11.28202	7.54215	0.63605
93	Z66794668	CC(NC(=O)CN1C(=O)CC2(CCCC2)C1=O)C=3C=CC(=CC3)C=4C=CC=CC4	-11.25303	7.08796	0.51521
94	Z224629714	O=C(C1CC(=O)NC=2C=C(F)C=CC21)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4	-11.24767	6.10596	0.4526
95	Z1745332809	CC1=C(C=NN1C=2C=C(C)C=CC2C)C(=O)NC3=CC=4CCC(=O)NC4C=C3F	-11.24221	6.97214	0.55112
96	Z1278540372	CC=1C=CC(=CC1NC(=O)N2CCCN(CC2)C=3C=CC=CC3)N4CCOC4=O	-11.2422	6.48263	0.37004
97	Z109175606	O=C(NC=1C=CC(Cl)=C(C1)S(=O)(=O)N2CCCCC2)C3=CC(Cl)=CC=C3F	-11.2392	6.68484	0.35213
98	Z394500638	CC1=NN=NN1C=2C=CC=C(C2)NC(=O)C3=CC=C4C=CC=CC4=C3	-11.23277	6.84668	0.60963
99	Z165662110	CC(C=1C=CC=CC1)N2C(=O)C=3C=CC=CC3N=C2SCC=4C=CC(=CC4)C(N)=O	-11.23028	7.54396	0.65273
100	Z953836100	CCC=1C=CC=C(C1)N2CCC(CC2)NC(=O)NC=3C=CC=4N=C(C)OC4C3	-11.22561	6.63774	0.49889
101	Z90250759	O=C1NC(CN2CCN(CC=3C=CC=C4C=CC=CC34)CC2)=NC=5C=CC=CC15	-11.22329	7.09984	0.56556
102	Z407306918	CC1CN(CC(C)O1)C=2C=CC(=CN2)C(=O)N3CCC(C)C=4C=CC=CC43	-11.22246	6.19528	0.32948
103	Z56913952	NC1=C(C=2N=C3C=CC=CC3=NC2N1C4CC4)S(=O)(=O)C=5C=CC=CC5	-11.22051	7.0697	0.56834
104	Z1772024879	CC(=O)N1CCC=2C=C(C=CC21)C(=O)NC3=CC(=NN3)C=4C=C(C)C=CC4F	-11.21786	6.8102	0.58223
105	Z30979535	CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(C2)NC(=O)CN3CCC=4C=CC=CC43	-11.21386	7.03985	0.47928
106	Z398672542	CCC=1C=CC(=CC1)NC(=O)C2=NN=C(CN3CCCC3C=4C=CC(=CC4)OC)S2	-11.21311	6.43122	0.46929
107	Z1731882140	O=C(NC=1C=CC(=NN1)C=2C=CC=CC2)NC3C=4C=CC=CC4CC3O	-11.20676	6.24758	0.80067
108	Z1249091655	CC1CCN(CC1)C=2C=CC=C(C2)NC(=O)N3CCCC(C3)C4=CC=NN4	-11.19984	6.83845	0.54157
109	Z289341608	O=C(C=1C=CC(O)=NC1)N2CCN(CC2)C(=O)C(C=3C=CC=CC3)C=4C=CC=CC4	-11.19249	6.78208	0.35072
110	Z1831395556	CC=1C=C(C=CC1N2CCNC2=O)C(=O)NC3CCCN(C3)C4=CC=C(Cl)C=C4Cl	-11.1918	6.93153	0.53925
111	Z1966829728	O=C1NC(=O)C=2C=C(C=NC2N1)S(=O)(=O)N[C@@H]3C[C@H]3C4=CC=CC5=CC=CC=C45	-11.18667	5.88907	0.27826
112	Z1444341256	O=C(O)C1CC=2C=CC=CC2CN1C(=O)C3CC3C=4C=CC=5OCCOC5C4	-11.1857	6.32766	0.32749
113	Z168695544	O=C(CC12CC3CC(CC(O)(C3)C2)C1)N4CC=C(CC4)C=5C=CC(O)=CC5	-11.18305	6.68676	0.52591
114	Z1534104527	CC1=CC=2C=C(C=CC2N1)NC(=O)NC3(CCOCC3)C4=CC=C(F)C=C4F	-11.17785	5.85277	0.45531
115	Z26395827	CN(CC=1C=CC=CC1)S(=O)(=O)C=2C=CC(Cl)=C(C2)C(=O)NCCC3=CNC=4C=CC=CC34	-11.17757	7.23822	0.51316
116	Z230116696	O=C(C=1C=CC(F)=CC1F)N2CCN(CC3=NC(=NO3)C=4C=CC(Cl)=CC4)CC2	-11.17221	6.83304	0.53117
117	Z976307316	CC(=O)N1CCCC=2C=C(C=CC21)NS(=O)(=O)C=3C=NN(C3)C=4C=CC=CC4	-11.16713	6.51682	0.44346
118	Z2439235071	O=C(CC1CCC2=CC=CC=C2C1)N3CCC(CC3)C4=NN=C5CNCCN45	-11.16371	6.81761	0.41591
119	Z1007027206	COC=1C=CC(=CC1)C(=O)NC=2OC=3C=CC=CC3C(=O)C2C=4C=CC(F)=CC4	-11.16151	6.74745	0.53155
120	Z1175842458	O=C(C=1C=NC=2NC(=O)NC(=O)C2C1)N3CCC(CN4CCC5=CC=CC=C54)CC3	-11.15664	6.76072	0.50429
121	Z46486672	CC(C1=NC=2C=CC=CC2C(=O)N1)N3CCCC(C3)C4=NC=5C=CC=CC5S4	-11.15434	7.63398	0.86957
122	Z2356815143	O=C(NC=1C=CC=2CNCCC2C1F)N3CCOC4(C3)CCCCCC4	-11.15284	6.24367	0.52286
123	Z3689332957	O=C(NC=1C=NC=2C(F)=CC=CC2C1)C(=O)NC(C=3C=CC=CC3)C4CCC4	-11.15192	6.98311	0.55246
124	Z90172306	CC1=CC=C(S1)C2=CSC=3N=C(CN4CCC=5C=CC=CC5C4)NC(=O)C23	-11.14934	7.05028	0.53317
125	Z195595796	CN(CC=1N=C(N)C2=C(N1)SC=3CCCCCC23)CC4=NC=5C=CC=CC5C(=O)N4	-11.14758	7.38435	0.62548
126	Z1213673068	CC=1C=C(O)C(=CC1C)C=2C=C(NN2)C(=O)NCCC=3C=CC(=CC3)S(N)(=O)=O	-11.13707	6.62902	0.59901
127	Z18537744	O=C(COC=1N=CN=C2C=CC=CC12)NC=3C=CC=C(C3)S(=O)(=O)N4CCCCC4	-11.1334	6.98835	0.69828
128	Z2710311738	CN1C=C(C=N1)C=2C=CC(=NN2)NC(=O)NC3(CCC3)C=4C(F)=CC=CC4F	-11.12942	6.61945	0.54067
129	Z69137962	CCS(=O)(=O)C=1C=CC(O)=C(C1)NC(=O)C2=CC=3CCC4=CC=CC=C4C3S2	-11.11969	6.95829	0.61084
130	Z1343514694	CC1(NC(=O)NC1=O)C2CCN(CC2)S(=O)(=O)C=3C=CC(=CC3)C4CCCCC4	-11.11937	6.90204	0.38468
131	Z846327178	CC(C)(C)C=1N=CC(=CN1)NC(=O)C2=CC(=C(S2)N3CCOCC3)C=4C=CC=CC4	-11.117	6.89757	0.45308
132	Z1608781964	CC1=CC(=NN1C=2C=C(C)C=C(C)C2)NC(=O)C3=CC=4CCC(=O)NC4C=C3F	-11.1156	6.72643	0.54622
133	Z413871816	CC=1C=CC=CC1N2CCN(CC2)C(=O)NC=3C=CC=C(C3)N4CCOC4=O	-11.11187	6.59332	0.53854
134	Z64934121	O=C1NC(CN2CCC=3C=CC=CC32)=NC=4SC=C(C=5C=CC(F)=CC5)C14	-11.111	6.79189	0.51223
135	Z228847278	CC=1C=CC=CC1C2=NN=C(O2)C=3C=CC(=CC3)C(=O)NC(C)C=4C=CC=CC4	-11.10711	7.27617	0.63756
136	Z28861477	CC=1C=CC=CC1C(=O)N2CCC(CC2)C(=O)NC(C)C3=CC=CC=4C=CC=CC34	-11.10598	6.72724	0.28172
137	Z2703362432	CCC=1OC=2C=CC=CC2C1CC(=O)NC=3C=C(C=CC3C)N4C(=O)CCC4=O	-11.10529	7.04892	0.60368
138	Z1677716190	CC=1N=CC=C(N1)N2CCN(CC2)C(=O)NC=3C=CC=4CCN(C)C(=O)C4C3	-11.10124	6.29475	0.40119
139	Z1632291911	O=C(NC1CCC=2C(O)=CC=CC21)N3CCCC3C4=NC(=NN4)C=5C=CC=CC5	-11.10058	6.09588	0.25114
140	Z1699669568	CC(NC(=O)N1CC=C(CC1)C=2C=CC=CC2F)C3=NN=C4C=CC=CN34	-11.09792	6.39246	0.69903
141	Z1902513672	CC1=C(N=NN1C=2C=CC(F)=CC2)C(=O)NC34CCC(CC3)(CC4)C(F)(F)F	-11.09033	6.50477	0.61026
142	Z44481850	O=C(NC=1C=C(C=CC1Cl)C(F)(F)F)C(NC=2C=CC=C(C2)CO)C=3C=CC=CC3	-11.08534	7.23949	0.54587
143	Z96812111	CC1=NC=2C=CC=CC2C(=O)N1CC(=O)N3CC=C(CC3)C=4C=CC=CC4	-11.08331	6.69742	0.45356
144	Z44526129	CC1=CSC2=NC(=CC(=O)N12)CNC=3C=CC(C)=C(C3)S(=O)(=O)N4CCCCCC4	-11.0803	7.24226	0.59161
145	Z131670498	CC=1C=CC(=CC1)S(=O)(=O)N2CCCN(CC2)C(=O)C=3C=CC=C(C3)N4C=NN=N4	-11.07908	7.10876	0.45088
146	Z2110057064	CC=1C=C2C=CNC2=CC1NC(=O)N3CCC4(CCN(CC=5C=CC=CC5)C4)C3	-11.07314	6.57271	0.41472
147	Z1223772553	CC=1C=C(F)C=CC1N2CCCC(OC(=O)C3=NNC(=O)C=4C=CC=CC34)C2=O	-11.07041	7.231	0.58114
148	Z1955849439	CC1=CN2C=CN=C(C(=O)NC3=NC(=C(C)S3)C=4C=CC=5NC(=O)CCC5C4)C2=N1	-11.06283	6.95896	0.50568
149	Z1165360763	CC1=C(N=NN1C=2C=CC=C3CN(C)CCC23)C(=O)NC=4C=CC(F)=CC4	-11.06258	7.02539	0.69994
