Rank	Ligand	SMILES	gnina_affinity_min	CNNpose_score_max	CNNaffinity_min
16141	Z28887462	COC=1C=CC=C(C1)C(=O)N2CCN(CC=3C=CC(C#N)=CC3)CC2	-7.277520	0.140250	4.581700
16142	Z2965692088	O=C(CCC1=CN=CC2=CC=CC=C12)NC[C@]34C[C@H]3COC54CCC5	-6.340190	0.140240	5.591720
16143	Z2027482564	CN(C)C=1C=C(N=C2C=CC=CC12)C(=O)NC3CCS(=O)(=O)CC3	-5.887950	0.140230	5.390230
16144	Z2716904048	CC1=CC(=NN1C)C(=O)NCC2CCC=3C=CC=CC3CC2	-5.686130	0.140220	4.584490
16145	Z2608550755	CN1C=C(NC1=O)C(=O)N2CC(C)(C)C2C3=NC=CN3C4=CC=CC(F)=C4	-7.567640	0.140220	6.142310
16146	Z29701915	CCOC=1N=CC=CC1C(=O)N2CCN(CC2)C3=CC(Cl)=CC=C3C	-7.259520	0.140190	5.471510
16147	Z1162817428	COC(=O)C=1C=CC=C(C1)OCCN2CCN(C)CC2C	-5.465950	0.140170	4.224810
16148	Z1272179663	CC=1N=CC=C(N1)N2CCC(CC2)NC(=O)C3CC3	-6.455190	0.140150	4.761510
16149	Z165169266	NC(=O)C=1C=CC(=CC1)S(=O)(=O)NC(CC(=O)O)C2=CC=CC=C2Cl	-4.248380	0.140130	5.226860
16150	Z1966541113	CC1=NN2C=C(C=CC2=N1)NS(=O)(=O)C=3C=CC=CC3[N+]([O-])=O	-3.563030	0.140120	4.728300
16151	Z1614057553	O=C(NCC1=CC(=O)NC=2C=CC=CC12)C3=CNC=4C=C(F)C=CC34	-7.149950	0.140120	5.862990
16152	Z229260976	FC(F)(F)C1=NN=C2C=CC(=NN12)N3CCCC(C3)C4=NC=5C=CC=CC5N4	-8.410480	0.140120	6.209560
16153	Z2436222754	CC=1C=NC=CC1CCN2CCN(CC2)C=3N=CN=C4C=CSC34	-6.452480	0.140110	6.043480
16154	Z1651304650	O=C(NC=1C=CC(Cl)=C(Cl)C1)N2CCC=3C(=O)NC=NC3C2	-5.985690	0.140090	5.040510
