Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
107	Z433864976	CC=1C=CC(=CC1NC(=O)N2CCC=3C=CC=CC3C2)C(=O)NC4CC4	-10.8127	0.50605	6.65549
108	Z2709330814	CC=1C=C(ON1)C2(CCOCC2)NC(=O)NC=3C=CC(=CC3)C=4N=CC=C(C)N4	-10.80508	0.68738	6.94848
109	Z82241490	O=C(NC1=NC(=CS1)C=2C=CC=3OCOC3C2)C=4C=CC(=CC4)N5C=NC=N5	-10.79942	0.68603	6.8198
110	Z131401024	O=C(CN1C(=O)NC2(CCCC2)C1=O)N3CCC(CC3)N4C(=O)NC5=CC=CC=C54	-10.79416	0.67793	7.18608
111	Z1622932677	CC(C)C1=NC=2CN(CCC2N1C)C(=O)NC=3C=CN=C(C3)OC=4C=CC=CC4	-10.7861	0.58314	6.79066
112	Z56808469	CC1=CC(=O)NC(=N1)SCC(=O)NC2=NC(=C(S2)C=3C=CC=CC3)C=4C=CC=CC4	-10.78421	0.7075	7.4705
113	Z28051893	CC=1C=CC=C(C1C)N2CC(CC2=O)C(=O)NC=3C=CC=C(C3)N4C=NN=N4	-10.78135	0.45053	6.66576
114	Z2182313182	CC=1C=CC=C2CC(COC12)NC(=O)NC3CCN(CC3)C=4C=CC=CN4	-10.75623	0.48651	6.39853
115	Z411180366	COC=1C=CC=C(C1)C(=O)NC2CCN(CC2)C(=O)NC3=CC=CC=4C=CC=NC34	-10.75448	0.37686	6.61646
116	Z1362912663	COC1=CC(=CC(=C1)C2CCN(C2)C(=O)NC=3C=CC=4N=C(C)OC4C3)OC	-10.75217	0.52159	6.52709
117	Z55293065	CC=1C=CC2=C(C1)C3CN(C)CCC3N2C(=O)NC=4C=CC(F)=CC4F	-10.74606	0.4104	6.99061
118	Z62783446	CN(C1CCCCC1)S(=O)(=O)C=2C=CC(=CC2)NC(=O)C3=CC=CC=4C=CC=NC34	-10.74315	0.4969	7.15429
119	Z2034720647	CN1C(=NC=2C=C(C=CC21)CNS(=O)(=O)C3=CC=4CCC(=O)NC4C=C3F)C5CC5	-10.74076	0.47353	6.81984
120	Z2572825334	[O-][N+](=O)C=1C=CC(=CC1)C=2C=CC(=CC2)NC(=O)C3=CC=CC=C3C(=O)O	-10.73481	0.56496	6.64966
121	Z1347551780	O=C1C=CN(CC2=NC(=CS2)C=3C=CC(=CC3)C4CCCCC4)C(=O)N1	-10.73279	0.50947	6.81675
122	Z850805600	CC(C)OC=1C=CC=C(C1)CN2CCC(CC2)C(=O)N3CCC4=CC=CC=C43	-10.73068	0.39258	6.6235
123	Z1277700314	CN1C(=O)CCC=2C=C(C=CC21)NC(=O)N3CCC4(C3)CCCCC4	-10.72551	0.41637	6.41945
124	Z99074993	O=C(NCC=1C=CC=2OCOC2C1)C=3C=CC=CC3C4=NC=C(O4)C=5C=CC=CC5	-10.72471	0.39641	7.00881
