Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
9330	Z1276406529	CC1CN(C(=O)CN2C=NC=3SC=CC3C2=O)C(CO1)C=4C=CC=CC4	-3.60	0.669870	7.401340
9331	Z2223261603	CC1(C)CN(C(=O)CC2CCCS(=O)(=O)C2)C=3C=CC=CC3O1	-3.60	0.671218	6.596007
9332	Z1676017210	CC=1C=CC=CC1C2C(=O)NCCN2C(=O)NC3=NC=CS3	-3.59	0.701337	6.776402
9333	Z1251422025	O=C(C1CC=CC1)N(CC=2C=CC=CN2)C=3C=CC(F)=CC3	-3.58	0.815631	6.808437
9334	Z1334084081	CC(=O)N1CCC(CCC(=O)N2CC(NC=3C=CC=CC32)C(C)C)CC1	-3.58	0.887504	7.206528
9335	Z2033027789	CC1=COC(C)=C1C(=O)N2CCCCC2CN3CCCC3=O	-3.58	0.635228	6.844775
9336	Z15572645	CC(SC1=NN=C(C=2C=CC(=CC2)C(C)(C)C)N1C3CCCC3)C(=O)NC(N)=O	-3.58	0.470591	8.143367
9337	Z1477470566	O=C(C=1C=CN2C=CN=C2C1)N(CC=3C=CC=CC3)CC4CCCO4	-3.57	0.754593	7.466527
9338	Z1615136618	CC1(C)CC(NC=2N=CC=CC2C(=O)N3CCC=4C=CC=CC43)C(C)(C)O1	-3.57	0.793864	7.587140
9339	Z1891832330	CN(C)C(=O)C=1C=CC=C(C1)N2C(=O)N(C)C3(CCCCC3)C2=O	-3.57	0.464073	6.664221
9340	Z1240519328	CCC1=CC=C(CN2CCN(CC2)C(=O)CS(C)(=O)=O)S1	-3.57	0.531847	6.197217
9341	Z2214075775	O=S(=O)(CC12CCC(CC1)CC2)N3CCC=4C=NC=CC43	-3.57	0.840658	6.898752
9342	Z15929915	NC(=O)CSC1=NC=2C=C(C=CC2N1CC=3C=CC=CC3)C(F)(F)F	-3.57	0.828236	7.354811
9343	Z1697440183	CC=1C=C(F)C=CC1C2C(=O)NCCN2C(=O)C=3C=CC4=NC=CN4C3	-3.57	0.535410	7.422515
9344	Z2142484969	CC=1SC(=NC1C=2C=CC=CC2)NC(=O)C3(CCOCC3)S(=O)(=O)C=4C=CC=CC4	-3.56	0.694596	7.803545
