Rank	Ligand	SMILES	CNN_affinity	CNN_score
133	Z26919520	CC1=CC=CC(C)=C1NC(=O)CN(C)C(=O)C2=CN(CC=3C=CC=CC3)N=C2C=4C=CC=NC4	7.39419	0.46686
134	Z649284900	CN1C(=O)C=2N=C(CN3CCCC(C3)C4=CC=5C=CC=CC5N4)NC2N(C)C1=O	7.39404	0.86543
135	Z397851974	CCOC=1C=CC(=CC1)C(NC=2C=CC3=NN=NN3N2)C=4C=CC=CC4	7.39308	0.7371
136	Z1753051439	C=1SC=2N=C(N=C(NCC3=NN=C(O3)C4CC4)C2C1C=5C=CC=CC5)C6CC6	7.39302	0.69447
137	Z1900931181	CC=1C=CN=C(C1)C2=NNC(=N2)C(C)NC=3N=CN=C4SC=5CCCCC5C34	7.38967	0.80584
138	Z1251687210	O=C(CC=1C=CC(=CC1)N2C=NN=N2)NC3=NC=4C=CC=CC4N3C5CCCC5	7.38874	0.42488
139	Z27876391	CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC(OC)=C(C2)NC(=O)C3=CC=C(C)O3	7.38789	0.71331
140	Z195595796	CN(CC=1N=C(N)C2=C(N1)SC=3CCCCCC23)CC4=NC=5C=CC=CC5C(=O)N4	7.38435	0.62548
141	Z856138514	CC1=NC(=NO1)C=2C=CC=C(C2)NC(=O)C3=NN(C4=CC=CC=C4C)C=5CCCC35	7.38351	0.63868
142	Z20251500	CN1C(=NN=C1C=2C=CN=CC2)SC(C=3C=CC=CC3)C=4C=CC=CC4	7.38291	0.5275
143	Z62710366	CN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(C2)NC(=O)C3=CC=CC=4C=CC=NC34	7.38227	0.50496
144	Z96391790	CN(C1CCCCC1)S(=O)(=O)C=2C=CC(=CC2)NC(=O)CN3N=CC(Cl)=C(Cl)C3=O	7.38139	0.60637
145	Z27954416	CCN1N=NC=2C=C(C=CC21)C(=O)N(CC(C)C)C3=NC4=CC=CC=C4S3	7.3811	0.642
146	Z915400734	CC1=NN(C=2N=C(C=C(C(=O)NC=3C=C(C)N=C(N3)C(C)C)C12)C4CC4)C(C)(C)C	7.38107	0.45345
147	Z440954744	CC1=NN=C(CNC=2N=C(CSC=3C=CC(Cl)=CC3)N=C4SC=5CCCC5C24)O1	7.37913	0.61681
148	Z16172520	COC=1C=CC(=CC1Cl)N2C(=NN=C2C=3C=CC=CC3)SCC(=O)NC(C)C	7.37907	0.63886
149	Z24542497	CC1=NN=C(SCC(=O)NC=2N=CC(=CC2Cl)C(F)(F)F)N1CC=3C=CC=CC3	7.37765	0.49368
150	Z1239661803	O=C(NC=1C=NN(C1)C=2N=CC=CN2)C=3N=C(C=4C=CC=CC4)N5CCCCCC35	7.37717	0.71816
151	Z14448228	CC=1SC=2N=C(SC3CCOC3=O)N(CC=4C=CC=CC4)C(=O)C2C1C	7.37688	0.75262
152	Z1272651197	CC1CN(C=2C=CC3=NN=C(C=4C=CC=CC4)N3N2)C1C=5C=CC=CC5	7.3759	0.73019
153	Z53122581	FC=1C=CC=C(C1)C2C=C(NC3=NC(=NN32)C(F)(F)F)C=4C=NC=CC4	7.37545	0.68706
154	Z25996748	COC=1C=CC(=CC1)N(CC(=O)NC=2C=CC=CC2)S(=O)(=O)C=3C=CC(C)=CC3	7.37539	0.49627
155	Z94852250	CC1=CC(CN2CCN(CC2)C=3N=CN=C4SC(=C(C)C34)C=5C=CC=CC5)=NO1	7.37441	0.55952
156	Z27434943	CC=1C=C(C)N2N=C(N=C2N1)C(=O)NC=3C=CC=C(C3)S(=O)(=O)NC=4CCCN4	7.37333	0.76283
157	Z3965268615	O=C(NC=1C=CC=C(C1)C2=NN=NN2)C=3C=CC=CC3COCC=4C=CC=CC4	7.37093	0.58727
158	Z126390274	CC=1C=CC(=CC1)S(=O)(=O)N2CCCN(CC3=NC=4C(C)=CC=CC4C(=O)N3)CC2	7.37081	0.54567
159	Z27607626	COC=1C=CC=CC1CN(CC2=CC=CS2)C(=O)CC3=NNC(=O)C=4C=CC=CC34	7.3701	0.54686
160	Z110002350	O=C(CC1=NOC=2C=CC=CC12)N(CCC3=CC=CS3)CC4=CC=CS4	7.36827	0.63072
161	Z2227077316	CC=1C=CC(=CC1)N2C=C(N=N2)C(=O)N3CCC(CC4=NC=5C=CC=CC5N4)CC3	7.3674	0.5844
162	Z28500620	CCCN(CC1=NC=2C=C(Cl)C=CC2C(=O)N1)C(=O)C3=CC=CS3	7.3667	0.82792
163	Z1051102912	CC=1N=C2CCC(CN2N1)NC=3N=CN=C4C3N=NN4C=5C=CC=CC5	7.36518	0.87799
164	Z15902865	CCNC(=O)CSC1=NN=C(C=2C=C(Cl)C=CC2OC)N1C=3C=CC(OC)=C(Cl)C3	7.36516	0.51464
165	Z239675846	Cl.CC1=CC(C2=CSC(CC(=O)NC=3C=CC(C)=CC3)=N2)=C(C)N1C4CCS(=O)(=O)C4	7.36482	0.47982
166	Z16441116	COC=1C=CC(=CC1)C2=NN=C(SCC(N)=O)N2CCC=3C=CC=CC3	7.36456	0.72001
167	Z17357137	O=C1NC(CSC2=NN=C(N2)C=3C=CC=CC3F)=NC=4C=CSC14	7.36384	0.72398
168	Z96668364	CC=1C=CC=CC1N2N=NN=C2SCC(=O)NC=3C=CC=CC3C(=O)NCC=4C=CC=CC4	7.36289	0.47188
169	Z732629050	O=C1NC(CC=2C=CC=3OCCC3C2)=NC=4C=C(SC14)C=5C=CC(F)=CC5	7.36202	0.66302
170	Z20242717	O=C(NC=1C=CC=C(C1)C(F)(F)F)C(SC2=NN=C3C=CC=CN23)C=4C=CC=CC4	7.35982	0.59966
171	Z124825432	CCN(CC=1C=CC(=CC1)C(F)(F)F)CC2=NC=3C=CC=CC3C(=O)N2	7.35887	0.54866
172	Z25934955	CC1=CC=CC(C)=C1NC(=O)CN2C(=NC=3C=CC=CC32)NCC=4C=CC=CC4	7.35572	0.43021
173	Z45487661	COC=1C=C2CCN(C(C3=CC=CS3)C2=CC1OC)S(=O)(=O)C=4C=CC(F)=CC4	7.3552	0.53409
174	Z51047024	CC=1C=CC=CC1C2=NN=C(O2)SCC(=O)NC3=NC(=CS3)C4=CC=C(F)C(F)=C4	7.35286	0.35192
175	Z56804796	CN1C(=O)C2=C(N=C(NCCC=3C=CC=CC3)N2CC=4C=CC=CC4)N(C)C1=O	7.35056	0.59484
176	Z343580142	NC(=O)C=1C=CC=C(C1)CNC(=O)C=2C=CC(=CC2)CSC3=NC=4C=CC=CC4N3	7.34971	0.5248
177	Z88902628	O=C1NC(CN2CCC=3C=CC=CC3C2)=NC=4SC(=CC14)C=5C=CC=CC5	7.34962	0.70844
178	Z106367144	COC=1C=CC(=CC1)CN(CC(=O)NC=2C(Cl)=CC=C(C)C2Cl)C3CC3	7.34934	0.69371
179	Z1158423240	CC=1C=CC(=CC1S(=O)(=O)NCC#N)C(=O)N2CCCCC2CC=3C=CC=CC3	7.34736	0.55082
180	Z58523017	CC(C)N1N=CC=2C(=CC(=NC21)C3CC3)C(=O)NC=4C=CC(=CC4)[N+]([O-])=O	7.34696	0.70585
181	Z48957472	NS(=O)(=O)C=1C=CC(=CC1)N2N=C(C=3C=CC=CC3)C=4C=CC=CC4C2=O	7.34602	0.62162
182	Z56936480	COC=1C=CC(=CC1OC)C2=CC(C=3C=CC=C(Cl)C3)N4N=CN=C4N2	7.34293	0.69132
183	Z1144308678	COC=1C=CC=C(C1)C(NC(=O)CC=2C=CC(C)=CC2)C3=CC=CN=C3	7.34278	0.69385
184	Z1412909268	CC=1C=CC(OC=2C=CC=CC2)=C(C1)NC(=O)C(=O)NC3CCC=4C=NNC4C3	7.34255	0.76395
185	Z32130737	CC=1C=CC(=CC1NC(=O)C=2C=CC=C(C2)[N+]([O-])=O)S(=O)(=O)NC=3C=CC(Cl)=CC3	7.34123	0.63486
