Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
115	Z1039132446	CCC(C(N)=O)N1CCC(CC1)C2=NC=3C=CC=CC3O2	-6.330000	6.372200	0.881300
116	Z62650075	COC=1C=CC(=CC1)C2=NC(=CS2)CC(=O)NC3=NC(=CS3)C=4C=CC=CC4	-6.550000	6.999820	0.881240
117	Z951213412	CCC=1C=CC=2N=C(NC(=O)C2C1)C=3C=CC(O)=C(C3)OC	-4.850000	6.426270	0.880950
118	Z3409369307	O=C(NCC=1C=NC=CC1C(F)(F)F)C=2C=C(ON2)C=3C=CC=CC3	-5.760000	6.609170	0.880920
119	Z1844296747	CC(NC1CCSC1)C2=NC(=NO2)C3CCCC3	-6.220000	5.664610	0.880610
120	Z4661513521	N/A	-5.610000	6.790580	0.878990
121	Z317176194	CC1=CN2N=C(NC3CCC=4C=CC=CC43)SC2=N1	-5.970000	5.856130	0.878510
122	Z2983912824	COCCN1CC(=O)N(C1=O)C2=CC(=NN2C)C(F)(F)F	-3.680000	5.992940	0.878250
123	Z3646532446	O=C(NCC=1C=C(NN1)C=2C=CC=CC2)C3(O)CC3	-6.030000	5.194750	0.878130
124	Z3069089178	C#CCCC1(CCC(=O)NC(C)(C(=O)O)C=2C=CC(Cl)=C(Cl)C2)N=N1	-5.500000	6.478820	0.878040
125	Z1689266421	O=C1NC(CCC=2C=CC=CC2)C(=O)N1CC(O)C(F)(F)F	-4.790000	5.685460	0.877170
126	Z2955934905	O=C(C=1C=C(N=CN1)C(F)F)N2CCNC(=O)C2C3=CC=CS3	-4.620000	6.707970	0.876400
127	Z2453523027	CN(C(=O)C1(F)CC1)C(C=2C=CC(Cl)=CC2)C=3C=CC=NC3	-4.820000	6.693310	0.875770
128	Z1848746413	COC1=CC=C2NC=C(CC(=O)N[C@H](C)C=3C=CC=C(Cl)C3)C2=C1	-5.660000	6.502390	0.875500
129	Z14220082	CCC1(NC(=O)N(CC=2C=CC=C(F)C2)C1=O)C=3C=CC(F)=CC3	-5.830000	6.630590	0.875400
130	Z1240510232	CCCS(=O)(=O)NC=1C=CC=C(C1)NC(=O)C=2C=CC(=O)N(CC)N2	-6.040000	6.911480	0.875030
131	Z2996394666	CC=1N=C2CCC(CN2N1)C(=O)N(CC(F)F)C=3C=CC=CC3	-5.150000	6.883820	0.874330
132	Z119585644	O=C(CN1N=NC=2C=CC=CC21)N3CCC=4SC=CC4C3C=5C=CC=CC5	-6.560000	6.633590	0.874230
133	Z2755084778	CC1=CSC=2N=C(NC(=O)C12)[C@@H]3C[C@H]3C=4C=CC=CC4	-5.590000	6.406620	0.874150
134	Z594709956	CC=1C=CC(=CC1Cl)CC2=CN=C(NC(=O)NC3CCOCC3)S2	-6.260000	6.599560	0.874130
135	Z2128335229	CC=1C=C(CCNC(=O)N2CCC[C@H]3C(=O)N(C)C[C@H]32)ON1	-5.950000	5.486690	0.873930
136	Z2186236033	COCCN1C=C2CCCC(NS(=O)(=O)CC34CCC(CC3)C4)C2=N1	-6.070000	6.126840	0.873430
137	Z20238947	CC1=CC=CC(NC(=O)CSC2=NN=C3SC=4C=CC=CC4N23)=C1C	-6.860000	6.425220	0.873300
138	Z2691193834	COC=1C=CC(F)=C2NC(=CC12)C(=O)N3CC=4C=NN(C)C4C3	-4.560000	6.886690	0.873160
139	Z27691868	O=C(C=1C=CC(=CC1)OCC2CCCO2)N3CCCC=4C=CC=CC43	-6.800000	6.564740	0.872610
140	Z19023986	O=C(CN1N=CC(Cl)=C(Cl)C1=O)NC(=O)NC2CCCCC2	-6.080000	6.235830	0.872390
141	Z56775876	COCCN1C(NC(=O)C2=CC=C(Br)O2)=C(C#N)C3=NC4=CC=CC=C4N=C31	-4.900000	6.889500	0.872370
142	Z2394429416	CC1=NC(=CN1)C(=O)N[C@@H]2CCC(=O)N(C)[C@H]2C3=NC=CN3C	-5.380000	5.980860	0.871460
