SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CN1N=CC=C1CNC2=CC=CC(=N2)C(=O)N3CCCC3CO,Z1828140791,315.371,315.371,-0.183,-1.854,2,5,83.28,6,https://real.enamine.net/public-enum-files/Z1828140791
CN(C)C=1C=CC=CC1N(C)C(=O)C=2C=CC=3C=CC(Cl)=CC3N2,Z1471424516,339.819,339.819,3.565,-5.087,0,3,36.44,3,https://real.enamine.net/public-enum-files/Z1471424516
COC=1C=CC(=CC1)C2=NC(C(=O)NC3=CC=C(F)C(F)=C3F)=C(C)O2,Z1227821421,362.303,362.303,3.286,-5.43,1,3,64.36,4,https://real.enamine.net/public-enum-files/Z1227821421
CC(NC[C@H]1CCCN1S(C)(=O)=O)C2CC2(C)C,Z1901962820,274.424,274.424,2.564,-1.735,1,3,49.41,5,https://real.enamine.net/public-enum-files/Z1901962820
BrC1=CC=C(CN2CCOC(C2)C3CCCO3)O1,Z1824036663,316.191,316.191,2.175,-2.77,0,3,34.84,3,https://real.enamine.net/public-enum-files/Z1824036663
CN(CC(=O)O)C1CCN(CC1)C(=O)C=2C=CC(Cl)=CC2Br,Z1762655576,389.672,389.672,-0.213,-4.15,1,4,60.85,5,https://real.enamine.net/public-enum-files/Z1762655576
CCC=1SC(=CC1C)C(=O)N2C[C@@H]3OCCN(CC=4C=CC=CC4)[C@@H]3C2,Z1975460183,370.51,370.51,3.867,-4.944,0,3,32.78,5,https://real.enamine.net/public-enum-files/Z1975460183
CCOC(=O)C1=C(C)OC2=NC(CSC3=NC=CN3C)=NC(N)=C12,Z51094882,347.394,347.394,1.854,-3.62,1,5,109.06,6,https://real.enamine.net/public-enum-files/Z51094882
COC=1C=CC=C(C1)CCCN2C=NC=3N=CC=CC3C2=O,Z1259393724,295.337,295.337,1.909,-3.66,0,4,54.79,5,https://real.enamine.net/public-enum-files/Z1259393724
CCC(C(=O)OC)N(C(=O)C1=CN2C=CN=C2S1)C=3C=CC=CC3,Z1814536921,343.402,343.402,2.568,-4.592,0,3,63.91,6,https://real.enamine.net/public-enum-files/Z1814536921
CC=1C=C(C)N(N1)C=2C=CC(Cl)=C(N2)C(=O)NC3=CC(C)=CC=C3C,Z31404466,354.834,354.834,3.457,-5.087,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z31404466
C[C@@H](O)CNC(=O)NCC1(CC1)C=2C=C(F)C=C(C2)C(F)(F)F,Z1875374058,334.31,334.31,2.853,-2.94,3,2,61.36,8,https://real.enamine.net/public-enum-files/Z1875374058
CC1=NN(C)C(C)=C1[C@H]2OCC[C@@H]2NC=3C=CN=C(N3)C4CC4,Z1754405978,313.398,313.398,1.396,-1.669,1,5,64.86,4,https://real.enamine.net/public-enum-files/Z1754405978
