ligand_id,ligand_id,smiles,predicted_vina_mean,predicted_vina_std,predicted_gnina_mean,predicted_gnina_std,final_score,rank_confidence,mean_rank,std_rank,SA,QED
Z1508917174,Z1508917174,COc1ccc(OC)c(C(=O)O)c1OC,-5.120618,0.5621269,3.9822526,0.6213964,-5.4016814,0.0032670075989483,1383814.25,4240.514177254923,1.819660811111607,0.8169397956928361
Z111519466,Z111519466,COc1cc(OC)c(OC)cc1CNC(C)(C)C,-4.214886,0.39649364,3.9800904,0.76680106,-4.413133,0.0072778117909748,1378245.85,6466.067145297828,1.9095779259919148,0.8752750705452215
Z427899164,Z427899164,COc1cc(OC)cc(OCCO)c1,-5.3610535,0.6075386,3.9788346,0.4137549,-5.6648226,0.0027130406597759,1384583.35,3225.7626582716844,1.75871727208267,0.7685475802681957
Z1539229232,Z1539229232,C=C(Br)CSCCN1CCOCC1,-4.0647492,0.3736191,3.9766052,0.3904828,-4.251559,0.0090880901789893,1375732.55,9941.909522194415,2.7129507687198444,0.7057854805580697
Z17855305,Z17855305,COc1cc(OC)cc(OCC(N)=O)c1,-4.692747,0.64862186,3.9750283,0.6057403,-5.017058,0.0053259624734397,1380955.7,5406.736891138683,1.7783496291228662,0.7723991853617097
Z2015191409,Z2015191409,CC(C)SCCN1CCCN(C(N)=O)CC1,-3.9242396,1.0173157,3.9742997,1.0590181,-4.4328976,0.0152796845175928,1367136.45,20538.91302254089,2.3828390347888924,0.8098413539750051
Z1203161909,Z1203161909,COc1cc(CC#N)cc(OC)c1,-4.3215427,1.5436196,3.9625134,0.91308624,-5.0933523,0.0115262001656641,1372347.6,15058.185140978976,1.9863705192395962,0.7061631529403658
Z30272383,Z30272383,CNC(=O)c1cc(OC)c(OC)cc1OC,-4.2591276,1.1147897,3.9624386,1.4375963,-4.8165226,0.0120045017466776,1371683.55,21802.896164214057,1.6929219994985996,0.8324157033579234
Z600417182,Z600417182,NCc1ccc2c(c1)OCCCO2,-5.237596,1.9003824,3.9617455,1.7031261,-6.187787,0.0146057190189794,1368072.15,47188.34744963527,1.96188387956348,0.7064578083449659
Z45637955,Z45637955,COc1cc(NS(C)(=O)=O)cc(OC)c1OC,-4.058514,0.33308658,3.9586976,0.6000134,-4.2250576,0.0081010912233946,1377102.85,6770.091087090335,1.8605219664559414,0.858288730042843
Z1671920356,Z1671920356,c1cc(CN2CCCSCC2)cs1,-3.739172,1.5674416,3.958608,1.2385646,-4.522893,0.051915547232326,1316273.05,109954.47732333367,2.3803722943875236,0.7428936013253291
Z1269229836,Z1269229836,COc1cc(OC(F)F)ccc1Br,-4.428782,1.3083285,3.9443169,1.3765147,-5.0829463,0.0130282349551625,1370262.25,22292.252692078924,1.955733376382451,0.8236300399136225
Z858038256,Z858038256,CCC(C)NC(=O)OCC(F)(F)F,-4.6271987,0.60167974,3.9409099,0.7696441,-4.9280386,0.0047316238700615,1381780.85,4054.943332218097,2.6467428209281856,0.7551356884204427
Z1226828573,Z1226828573,C=C(Br)CN(C)CCCNC(C)=O,-4.0633116,0.70571566,3.9389808,0.5749108,-4.416169,0.0113999711888211,1372522.85,14637.685924609124,2.6374135056649344,0.7205816875645918
Z2082999354,Z2082999354,Cl.Cl.Cl.NCCNCCN1CCCCCC1,-6.4721007,2.677051,3.9381785,1.5449467,-7.810626,0.0076223214607267,1377767.55,17260.433249125006,2.3727357173745993,0.758150734207997
Z57046942,Z57046942,COc1ccc(OC)c(S(=O)(=O)Cl)c1,-4.1337934,0.5830459,3.9367054,0.78419274,-4.4253163,0.0079154031764325,1377360.65,7438.0497731260175,1.809808236419789,0.7489348919546488
Z1249994307,Z1249994307,CNCc1cc(OC)c(OC)cc1SC,-4.0527816,0.85109264,3.9358501,0.8266128,-4.4783278,0.0115940504915907,1372253.4,22324.15545860582,2.1709860268714607,0.7807544393255036
Z1269170964,Z1269170964,COc1ccc(Br)c(OC(F)F)c1,-4.509713,0.8228589,3.9345424,1.153942,-4.9211426,0.0073893830806353,1378090.95,9619.084673060115,1.9850753544044295,0.8236300399136225
Z1450922891,Z1450922891,COC(=O)c1cc(Br)c(OC)c(OC)c1,-4.43843,0.5605003,3.93419,0.6512516,-4.71868,0.0058509021500342,1380226.9,5178.132616107857,1.7872573495731476,0.793552137700263
Z56007122,Z56007122,CCNCC(=O)N1CCCCCC1,-4.3445916,1.2798218,3.9317863,1.1655207,-4.9845023,0.0144856124176181,1368238.9,27616.176525543862,1.8645520161210918,0.7093773974438384
Z733881160,Z733881160,N#CCc1cc(Br)c2c(c1)OCCCO2,-3.9774616,0.9505956,3.9290676,1.3190134,-4.4527593,0.0118353441135161,1371918.4,11671.555326519258,2.570804675154543,0.7859123219643681
Z1269173224,Z1269173224,FC(F)Oc1cc(Br)ccc1Br,-3.6309738,0.79947734,3.9185243,1.2779052,-4.0307126,0.0170802751467569,1364636.6,22664.10761402266,2.2006776191001443,0.8068995771486802
Z56778459,Z56778459,CC(C)(C)c1ccc2c(c1)OCCOCCOCCOCCO2,-4.4854836,1.8673072,3.9150302,1.6578892,-5.419137,0.034906831850758,1339887.1,77972.37150484779,2.7760708159211642,0.7342131124127089
Z409512732,Z409512732,O=C(Nc1nncs1)N1CCCCCC1,-3.850307,1.9191297,3.9137654,1.810727,-4.8098717,0.0808323189397486,1276126.45,224009.88674665123,2.1988666852374816,0.7958244165223104
Z2738282597,Z2738282597,C=CC(=O)Nc1ncc(OC)s1,-4.4226103,1.1745669,3.9116123,1.2461556,-5.009894,0.0099006374473296,1374604.45,14821.676964753347,2.838502400568675,0.7196862810263444
Z1535579525,Z1535579525,CC(C)(C)OCCN1CCCSCC1,-4.1977983,0.60796636,3.8958237,0.8648244,-4.5017815,0.0073095040875859,1378201.85,5763.456777620528,2.504485319419949,0.7192061649949921
Z235598856,Z235598856,CCN(CC)C(=O)c1ccsc1,-3.3322437,1.0416535,3.8932946,1.2436236,-3.8530705,0.0332150034213275,1342235.95,54885.92670573669,2.099684218750495,0.7033696253928573
Z104655746,Z104655746,COc1cc(NCCCO)cc(OC)c1OC,-4.6274786,0.67179173,3.892989,0.32173735,-4.9633746,0.0056761983649656,1380469.45,5850.715524403832,1.9097094623642885,0.7084831375145673
Z381422944,Z381422944,OCc1cc(Br)c2c(c1)OCCCO2,-5.419015,1.1548673,3.8910549,1.0552341,-5.9964485,0.002218892930457,1385269.4,1757.8539586666466,2.348422124153677,0.8389162503583604
Z30272314,Z30272314,CNC(=O)c1cc(OC)c(OC)c(OC)c1,-4.1949053,1.0342348,3.8874195,1.3616449,-4.712023,0.0114816868945151,1372409.4,15857.717482033786,1.6877892624681898,0.8324157033579234
Z2713330537,Z2713330537,CC(=O)NCCN1CCCCC1.CC(=O)O,-5.308732,1.5819322,3.8872948,0.93015593,-6.099698,0.007651132639464,1377727.55,20676.784913218497,1.8143155083153637,0.7484846569090622
Z24889283,Z24889283,CCOc1c(Br)cc(C(=O)OC)cc1OC,-4.1081586,0.5836608,3.8857307,0.6727582,-4.399989,0.0093397198112867,1375383.2,9890.629037629507,1.8170962392123755,0.799289372368815
